Order ID,Sample ID,Matrix,Test,Mark,Invoice ID,Price,Site,Cust. Samp ID,Date Collected,,customer_id
2023050401,2023050401-01,MQ,DOC,TRUE,,4.19,Method blank,,05-04-2023,,Blanks
2023050401,2023050401-01,MQ,SRSi,TRUE,,7.95,Method blank,,05-04-2023,,Blanks
2023050401,2023050401-01,MQ,Part P,TRUE,,11.71,Method blank,,05-04-2023,,Blanks
2023050401,2023050401-01,MQ,Anions,TRUE,,19.28,Method blank,,05-04-2023,,Blanks
2023050401,2023050401-01,MQ,Cations,TRUE,,16.75,Method blank,,05-04-2023,,Blanks
2023050401,2023050401-01,MQ,Part C/N,TRUE,,17.78,Method blank,,05-04-2023,,Blanks
2023050402,2023050402-01,Precipitation,Anions,TRUE,,19.28,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Cations,TRUE,,16.07,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Part C/N,TRUE,,18.19,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Cond,TRUE,,4.20,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Part P,TRUE,,13.84,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,DIC,TRUE,,9.46,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,DOC,TRUE,,4.19,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Archive,TRUE,,0.00,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Alk,TRUE,,4.31,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,Filtration,TRUE,,6.16,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,NO2,TRUE,,6.22,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,NO3,TRUE,,6.30,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,NH3,TRUE,,6.85,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,pH,TRUE,,7.24,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,SRSi,TRUE,,8.09,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,TDP,TRUE,,8.54,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-01,Precipitation,TDN,TRUE,,8.94,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,TDN,TRUE,,8.94,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,TDP,TRUE,,8.54,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,SRSi,TRUE,,8.09,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,pH,TRUE,,7.24,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,NH3,TRUE,,6.85,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,NO3,TRUE,,6.30,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,NO2,TRUE,,6.22,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,Filtration,TRUE,,6.16,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,Alk,TRUE,,4.31,Metsite Bulk Snow,,05-04-2023,,LTER
2023050402,2023050402-02,Precipitation,Archive,TRUE,,0.00,Metsite Bulk Snow,,05-04-2023,,LTER
